,STNCode,Name of Monitoring Location,Type of Water Body,State Name,Temperature Min⁰C,Temperature Max⁰C,Dissolved Oxygen(mg/L)Min,Dissolved Oxygen(mg/L)Max,pH Min,pH Max,Conductivity(μmhos/cm)Min,Conductivity(μmhos/cm)Max,BOD(mg/L)Min,BOD(mg/L)Max,NitrateN+NitriteN(mg/L)Min,NitrateN+NitriteN(mg/L)Max,FecalColiform(MPN/100ml)Min,FecalColiform(MPN/100ml)Max,TotalColiform(MPN/100ml)Min,TotalColiform(MPN/100ml)Max,Year
488,3075.0,"RANGADHAMUNI CHERUVU,
RANGA REDDY",POND,TELANGANA,26.0,30.0,0.1,4.0,6.8,8.2,762.0,1549.0,5.0,32.0,0.8,18.0,2.0,70.0,140.0,540.0,2020
489,3076.0,"AMBER CHERUVU, KUKATPALLY, RANGA REDDY",POND,TELANGANA,26.0,32.0,0.1,2.9,7.0,7.8,994.0,1864.0,8.0,34.0,1.57,18.0,2.0,84.0,230.0,540.0,2020
490,3077.0,"KAPRA CHERUVU, KAPRA,
RANGA REDDY",POND,TELANGANA,27.0,29.0,0.1,4.6,7.0,7.9,1139.0,1667.0,8.0,12.0,1.2,4.1,15.0,49.0,210.0,920.0,2020
491,3078.0,"PRAGATHINAGAR CHERUVU,
KUKATPALLY, RANGA REDDY",POND,TELANGANA,26.0,32.0,0.1,2.8,7.0,7.7,998.0,1716.0,8.0,38.0,1.5,14.0,22.0,130.0,350.0,920.0,2020
492,4236.0,"PEDDA CHERUVU (NACHARAM
CHERUVU)",POND,TELANGANA,28.0,28.0,0.3,0.3,7.5,7.5,1498.0,1498.0,15.0,15.0,2.83,2.83,39.0,360.0,279.5,1400.0,2020
493,4665.0,"OUTLET OF KTPP ASH POND JOINING TO MORANCHA
VAGU, CHELPUR, GHANPUR",POND,TELANGANA,27.0,29.0,3.4,5.7,7.4,8.4,480.0,990.0,2.3,5.0,0.5,2.2,2.0,23.0,18.0,130.0,2020
494,4675.0,"LOTUS POND, HAKIMPET (V), SHAIK PET (NEW MANDAL)",POND,TELANGANA,25.0,29.0,0.8,5.0,6.9,8.3,600.0,880.0,3.0,16.0,1.2,32.0,2.0,32.0,21.0,350.0,2020
495,1447.0,"DHARMASAGAR TANK NEAR
WARANGAL",TANK,TELANGANA,27.0,28.0,5.6,6.5,7.5,8.8,187.0,380.0,2.0,3.0,0.3,2.0,2.0,2.0,4.0,39.0,2020
496,1464.0,BIBINAGAR TANK,TANK,TELANGANA,16.0,28.0,5.6,6.9,7.0,7.5,408.0,582.0,3.0,4.0,2.14,7.32,2.0,13.0,27.0,110.0,2020
497,1780.0,"GANDIGUDEM TANK , MEDAK
DISTRICT",TANK,TELANGANA,17.0,34.0,5.6,6.6,6.9,7.4,773.0,2938.0,3.8,7.0,6.19,20.35,2.0,13.0,13.0,120.0,2020
